configuration,run,samples,duration_s,duration_min,path_length_m,linear_speed_mean_mps,linear_speed_median_mps,linear_speed_p95_mps,linear_speed_max_mps,angular_speed_abs_mean_radps,angular_speed_abs_p95_radps,angular_speed_abs_max_radps,total_abs_rotation_deg
cartographer,01,13191,263.8,4.3966666666666665,54.00725549637694,0.2047280344820961,0.24010642431878004,0.26068129703717063,0.26384977733556275,0.2023011933321632,0.6554716939911028,0.839548631473589,3057.707005142089
cartographer,02,16835,336.68000000000006,5.611333333333334,45.53567874335846,0.13524913491552354,0.15994892544195954,0.19048183017040884,0.20737174349482884,0.13307385632725457,0.3068840841869259,0.6375303119923207,2567.0403390686724
cartographer,03,17286,345.70000000000005,5.761666666666668,45.27923924903073,0.13097841842357746,0.10028125447960061,0.21045021739077058,0.26467804026765707,0.1456730468665611,0.39846404469980934,0.529087465041093,2885.368032663546
cartographer,04,17195,343.88,5.731333333333334,45.26448170422939,0.1316287126446126,0.1501109714512578,0.18014051321082789,0.18762422551488714,0.16141766997262044,0.3985309938593164,0.6292605922460281,3180.3917963763697
cartographer,05,14782,295.62,4.9270000000000005,47.798173259861514,0.1616878873549202,0.1598286973608038,0.25961808970122613,0.26327077790769965,0.19337189614594485,0.49820414913891237,0.9666358070980965,3275.290314039264
cartographer,06,13622,272.41999999999996,4.540333333333333,49.612474217918056,0.18211759128521424,0.1898208431652406,0.26011089942585625,0.26121447605392606,0.1876843043372911,0.4982901979047165,0.9281985775336413,2929.4735150483193
cartographer,07,13379,267.56,4.459333333333333,49.006650564772414,0.18316134909841686,0.1896511105948592,0.26011379240655014,0.26274000932467584,0.19653824898754535,0.49836095684847614,1.0141174897160183,3012.9429068480695
cartographer,08,12915,258.28000000000003,4.304666666666667,50.95382821403773,0.19728135439847347,0.19992684912226996,0.25997542191546297,0.2623096833895462,0.21800246802404152,0.5334504688703675,0.9265627033213053,3226.0776800085614
cartographer,09,11781,235.59999999999997,3.9266666666666663,53.80373837253293,0.22836900837238083,0.24922566581296507,0.2603260580501614,0.26638082232008764,0.2506294572589383,0.6967842691151637,0.9302033073317414,3383.2183848825866
cartographer,10,17324,346.46,5.774333333333333,51.67244956093105,0.1491440557667005,0.15003967808541835,0.2601514145642416,0.2622460676535338,0.21083675179679362,0.5776169455272214,1.0290360084790848,4185.256217074762
cartographer_yolo,01,12480,249.58,4.159666666666667,52.67536059244331,0.21105601647745534,0.2596484161325083,0.2607975704449072,0.2680881291667481,0.2399985188541934,0.697702449281443,1.1271427434006258,3431.9501760017606
cartographer_yolo,02,12009,240.16,4.002666666666666,50.393554008247186,0.20983325286578602,0.25923905955687493,0.26067715113742435,0.2684038468426308,0.21485585779079996,0.5438939928117907,1.7131967713138818,2956.4497786350153
cartographer_yolo,03,13103,262.04,4.367333333333334,48.726086971832444,0.18594904202347903,0.2197974266228264,0.2605220636048121,0.2650845148252344,0.18902497361133064,0.4543881799441684,0.7266193268860413,2837.9805144796837
cartographer_yolo,04,11996,239.9,3.9983333333333335,52.33837498866525,0.21816746556342329,0.2503830365658483,0.26061678524217563,0.2620740591896129,0.22625109685130682,0.5979049742146719,1.4267511552405383,3109.8795870525437
cartographer_yolo,05,11277,225.52,3.758666666666667,51.51120358876255,0.22841079987922377,0.2597469970952469,0.2608169413111532,0.26597311894234954,0.23583286840069093,0.5179517792930434,1.025739509181567,3047.2776652858515
cartographer_yolo,06,11980,239.58,3.9930000000000003,57.38879374972269,0.23953916750030338,0.25968396658232673,0.2608646871459858,0.26626722010024945,0.2682230305612101,0.6974579961840732,0.9387555350604526,3681.876848647666
cartographer_yolo,07,11980,239.58000000000004,3.9930000000000008,56.24276038558526,0.23475565734028409,0.25972447420319383,0.26070237244822514,0.26644369480274827,0.24427156381841608,0.6246493311766191,0.9366073987900108,3353.0969123874106
cartographer_yolo,08,11471,229.40000000000003,3.8233333333333337,55.71519758958871,0.24287357275322016,0.25993497744616123,0.26089177162168553,0.266643305747837,0.27476426226974976,0.6906478058135347,0.9266689545833086,3611.405795935482
cartographer_yolo,09,11953,239.03999999999996,3.9839999999999995,58.715025633453166,0.24562845395520905,0.2599243086939535,0.26088566053927,0.2641019878761206,0.2813764185183621,0.6973149700595862,0.9302876894204407,3853.72668255994
cartographer_yolo,10,12189,243.76000000000002,4.062666666666667,53.58424423630469,0.21982377845546724,0.21043586314735885,0.26066301665201175,0.264897602858386,0.2625160350358171,0.6129855755887054,1.027941956581964,3666.408995735934
rtab,01,15893,317.84,5.297333333333333,45.658312153651615,0.14365187564073628,0.14996901346604077,0.23011356082397302,0.2354329469298958,0.1058131864296055,0.3054784411526591,0.6305442858699599,1926.9523579207773
rtab,02,12220,244.38,4.0729999999999995,45.23751123573247,0.18511134804702703,0.2399415814316796,0.2604641717203145,0.2633081322328037,0.11300517506562072,0.39688446537706656,0.5321337193888218,1582.291974478757
rtab,03,13815,276.28,4.604666666666666,46.24708201103596,0.16739207329895744,0.18013876248584063,0.20027434059225488,0.20343377915205152,0.09821007301570536,0.36607316430569253,0.6302349281106433,1554.633828647205
rtab,04,14105,282.08,4.701333333333333,45.29998000634192,0.1605926687689376,0.16013663306592452,0.22031928110149573,0.22506388537469496,0.08960985314987,0.3978965679974808,0.6754565887545241,1448.2738628045104
rtab,05,15723,314.44,5.240666666666667,45.5855710183612,0.14497382972383033,0.12014001206927238,0.2303228134049568,0.23611052496679785,0.08097823554471772,0.2989558186390943,0.6094617123113646,1458.9107674431953
rtab,06,16503,330.04,5.500666666666667,46.228749743395305,0.1400701422354724,0.15992831206504338,0.16032732027005148,0.16270928830270842,0.0902979955137113,0.3178469445942873,0.7859398285950856,1707.5259814325345
rtab,07,18099,361.96000000000004,6.0326666666666675,46.46127067132042,0.1283602350296177,0.1298415717325575,0.19028470839784956,0.1918253437376506,0.08489326818571008,0.3454311866681986,1.0276665985977005,1760.582842314011
rtab,08,16221,324.4,5.406666666666666,47.273736713542895,0.14572668530685232,0.10014012682233117,0.2603087460115763,0.262005195558671,0.08711036191584574,0.29895965465507385,0.5294165546553025,1619.098595477627
rtab,09,13665,273.28,4.554666666666666,49.396695782448575,0.18075488796270706,0.16032611296970484,0.2604495083013184,0.2665477161787901,0.10465970060434131,0.39840647012636493,0.6068392352858577,1638.739678973036
rtab,10,13466,269.3,4.488333333333333,47.94221559008519,0.1780253085409773,0.16030877237374078,0.2503268513365746,0.2529460120261513,0.11356959090422529,0.39863561683731097,0.6204223898121155,1752.3507839887648
rtab_yolo,01,15503,310.03999999999996,5.167333333333333,46.42070060748867,0.14972487616916744,0.1599866635065945,0.18031335190404768,0.18552785505163588,0.0848068567015511,0.29894644717648206,0.6375411083566032,1506.5076014570998
rtab_yolo,02,16259,325.16,5.419333333333333,47.37258573541134,0.14569007791675279,0.1694018963871109,0.23050107754648855,0.2500046249574723,0.08863165690880526,0.3081171701945349,0.5216941681707383,1651.233973620512
rtab_yolo,03,12748,254.94,4.249,44.820392679581936,0.1758076122992937,0.19998578074473528,0.22033842265946096,0.22183457800823017,0.10232359434099925,0.39837884357737985,0.6176674534992999,1494.6393129827118
rtab_yolo,04,13051,261.0,4.35,49.57051214491309,0.1899253338885559,0.22020231322600936,0.26047785270535095,0.26214228960611974,0.1451819455098622,0.597635282700212,1.8427077225405266,2171.0796249346963
rtab_yolo,05,14227,284.52,4.742,49.987738729820705,0.17569147592373366,0.2199780045821814,0.2604704517793198,0.26323507555023196,0.11292220686325853,0.4087504758769807,1.0415651080615558,1840.8346883559086
rtab_yolo,06,11451,229.0,3.816666666666667,47.31293021458282,0.20660668215975025,0.25855832248491606,0.2604949968331887,0.2622266672173791,0.12255858000759896,0.39868875347270344,0.7401301106300177,1608.0584674593724
rtab_yolo,07,17076,341.5,5.691666666666666,48.87852722943973,0.14312892307302996,0.17977058991964356,0.21008901803457322,0.21132946434440528,0.09398004823047464,0.30006332279490544,0.532500249040494,1838.8614316773826
